"Slide Name"	"Experiment"
"svcc127"	"Normal Breast2"
"svcc130"	"BC790"
"svcc131"	"BC305A-BE"
"svcc132"	"BC1369"
"svcc134"	"BC118B-BE"
"svcc135"	"BC206B-AF"
"svcc137"	"BC16"
"svcc18"	"Normal Breast-Norway1"
"svcc36"	"BC404A-AF"
"svcc51"	"BC309A-BE"
"svcc52"	"BC114B-AF"
"svcc53"	"BC112B-BE"
"svcc55"	"BC807A-BE"
"svcc58"	"BC305B-AF"
"svcc61"	"BC14"
"svcc63"	"BC107A-AF"
"svcc64"	"BC115A-AF"
"svcc65"	"BC711A-AF"
"svcc66"	"BC402B-AF"
"svcc68"	"BC111B-BE"
"svcc70"	"Normal Breast1"
"svcc76"	"BC213B-BE"
"svcc77"	"BC110A-AF"
"svcc78"	"BC110B-BE"
"svcc79"	"BC213A-AF"
"svcc81"	"BC114A-BE"
"svcc82"	"BC710B-AF"
"svcc83"	"BC402B-BE"
"svcc84"	"BC709B-BE"
"svcc85"	"BC709A-AF"
"svcc86"	"BC708A-AF"
"svcc87"	"BC308B-BE"
"svcc88"	"BC117A-BE"
"svcc89"	"BC123B-BE"
"svcc91"	"BC123A-AF"
"svcc92"	"BC214B-BE"
"svcc93"	"BC206A-BE"
"svcc96"	"BC2"
"svcc97"	"BC112A-AF"
"svcc98"	"BC107B-BE"
"svcc99"	"BC23"
"svj104"	"BC31-0"
"svl002"	"BC4-LN4"
"svl003"	"BC108A-BE"
"svl004"	"BC108B-AF"
"svl005"	"BC106A-AF"
"svl006"	"BC106B-BE"
"svl007"	"BC46-LN46"
"svl012"	"BC104A-BE"
"svl013"	"BC104B-AF"
"svl014"	"BC119B-AF"
"svl015"	"BC119A-BE"
"svl016"	"BC121B-BE"
"svl017"	"BC121A-AF"
"svl018"	"BC125A-BE"
"svl019"	"BC125B-AF"
"svl020"	"BC303B-BE"
"svl021"	"BC303A-AF"
"svl022"	"BC48-0"
"svl024"	"Normal Breast3-24k"
"svl026"	"BC606B-AF"
"svl027"	"BC120A-BE"
"svl028"	"BC120B-AF"
"svl029"	"BC405A-BE"
"svl030"	"BC405B-AF"
"svl031"	"BC605B-BE"
"svl032"	"BC307A-AF"
"svl033"	"BC404B-BE"
"svl034"	"BC18"
"svl035"	"BC704B-AF"
"svl036"	"BC608B-BE"
"svl037"	"BC-HBC5"
"svl038"	"BC706B-AF"
"svl039"	"BC706A-BE"
"svl040"	"BC702A-AF"
"svl041"	"BC702B-BE"
"svl042"	"BC608A-AF"
"svl103"	"BC307B-BE"
"svl104"	"BC205B-AF"
"svl106"	"BC6"
"svl107"	"BC20-FA"
"svl108"	"BC44"
"svl109"	"BC40"
"svl110"	"BC45"
"svn007"	"BC-HBC6"
"svn015"	"BC-HBC4-T1"
"svo088"	"BC11-FA"
"svp082"	"Normal Breast3-24k"
"svp091"	"BC44-24k"
"D2-1_54278"	"MCF10A MYC"
